product_category,product_description
House,Cinnamon Rolls
Kitchen,Berry Brulee
Speed,Alize Gold Passion
Superpower,"Mushroom - Enoki, Dry"
Galactic,Tomatoes - Hot House
Phenomeno,Pumpkin - Seed
Totalitarian,Tea - Earl Grey
Pizzapasta,Wiberg Super Cure
Venezuela,Pork - Kidney
Cantonito,Tarts Assorted
Lol,Jicama
Pretrucious,Wine - Shiraz South Eastern
Pulis,Table Cloth 81x81 Colour
Banned,Cheese - Montery Jack
Not Banned,Bread - 10 Grain
Gas,Bread - Kimel Stick Poly
Granon,Mince Meat - Filling
Carniceria,Aspic - Clear
Pimienta,Veal - Liver
Cebolla,Zucchini - Green
House,"Wine - Red, Colio Cabernet"
Kitchen,Pork - Bones
Speed,Pears - Anjou
Superpower,Broom Handle
Galactic,Assetate - Baking
Phenomeno,"Olives - Green, Pitted"
Totalitarian,Wooden Mop Handle
Pizzapasta,Zucchini - Green
Venezuela,Taro Leaves
Cantonito,"Tortillas - Flour, 12"
Lol,Sauce - Demi Glace
Pretrucious,Shark - Loin
Pulis,"Shrimp, Dried, Small / Lb"
Banned,Tomatoes Tear Drop
Not Banned,Pork - European Side Bacon
Gas,Carrots - Mini Red Organic
Granon,Wiberg Super Cure
Carniceria,Wine - Sawmill Creek Autumn
Pimienta,Ham - Virginia
Cebolla,Lemons
House,Beef - Top Sirloin
Kitchen,Wine - Conde De Valdemar
Speed,Papadam
Superpower,Beer - Camerons Cream Ale
Galactic,Swordfish Loin Portions
Phenomeno,Carbonated Water - Raspberry
Totalitarian,"Iced Tea - Lemon, 460 Ml"
Pizzapasta,Wine - Vineland Estate Semi - Dry
Venezuela,Spinach - Spinach Leaf
Cantonito,Compound - Rum
Lol,"Beef - Roasted, Cooked"
Pretrucious,Compound - Rum
Pulis,Cheese - Goat
Banned,"Syrup - Golden, Lyles"
Not Banned,Cookie Chocolate Chip With
Gas,"Chicken - Leg, Fresh"
Granon,Mace Ground
Carniceria,Beans - Green
Pimienta,Pate - Peppercorn
Cebolla,Coffee - Ristretto Coffee Capsule
House,Salt - Kosher
Kitchen,Arizona - Plum Green Tea
Speed,Pastry - Carrot Muffin - Mini
Superpower,Temperature Recording Station
Galactic,Wine - Cave Springs Dry Riesling
Phenomeno,Muffin - Blueberry Individual
Totalitarian,Kaffir Lime Leaves
Pizzapasta,Gingerale - Diet - Schweppes
Venezuela,Dasheen
Cantonito,"Pasta - Fettuccine, Dry"
Lol,Seabream Whole Farmed
Pretrucious,Bread - French Stick
Pulis,Milk - Homo
Banned,"Pasta - Lasagna Noodle, Frozen"
Not Banned,Sage - Ground
Gas,"Turkey - Breast, Boneless Sk On"
Granon,"Lamb - Pieces, Diced"
Carniceria,Chocolate - White Coating
Pimienta,"Lemonade - Natural, 591 Ml"
Cebolla,Graham Cracker Mix
House,Pasta - Canelloni
Kitchen,Vinegar - Cider
Speed,Coffee Cup 16oz Foam
Superpower,"Wine - Red, Concha Y Toro"
Galactic,Salt - Sea
Phenomeno,Radish
Totalitarian,Wine - Sake
Pizzapasta,Currants
Venezuela,"Jam - Raspberry,jar"
Cantonito,Chambord Royal
Lol,Cheese - Le Cheve Noir
Pretrucious,Bagel - Everything
Pulis,Pears - Bartlett
Banned,Bread - Pumpernickel
Not Banned,Salt - Kosher
Gas,"Gingerale - Schweppes, 355 Ml"
Granon,Sauce - Fish 25 Ozf Bottle
Carniceria,Capicola - Hot
Pimienta,Bagelers
Cebolla,Wine - Sicilia Igt Nero Avola
House,Wine - Winzer Krems Gruner
Kitchen,"Artichoke - Bottom, Canned"
Speed,Beef - Cow Feet Split
Superpower,Sansho Powder
Galactic,Quail - Jumbo Boneless
Phenomeno,Bread - Wheat Baguette
Totalitarian,Bay Leaf
Pizzapasta,"Basil - Dry, Rubbed"
Venezuela,Wine - Cava Aria Estate Brut
Cantonito,Beef Cheek Fresh
Lol,"Noodles - Cellophane, Thin"
Pretrucious,"Crab - Blue, Frozen"
Pulis,Zucchini - Green
Banned,Muffin - Banana Nut Individual
Not Banned,Quiche Assorted
Gas,Chick Peas - Dried
Granon,Muffin Mix - Morning Glory
Carniceria,Allspice - Jamaican
Pimienta,Bread - 10 Grain
Cebolla,Soup - Campbells
House,Wooden Mop Handle
Kitchen,Table Cloth 90x90 White
Speed,"Shrimp - 16/20, Peeled Deviened"
Superpower,Wine - Magnotta - Belpaese
Galactic,"Quail - Whole, Bone - In"
Phenomeno,"Pork - Chop, Frenched"
Totalitarian,"Juice - Orange, Concentrate"
Pizzapasta,Sesame Seed Black
Venezuela,Scallops - U - 10
Cantonito,Ostrich - Prime Cut
Lol,Cheese - Brick With Pepper
Pretrucious,"Beef - Outside, Round"
Pulis,Salt - Table
Banned,Longos - Assorted Sandwich
Not Banned,Muffin - Bran Ind Wrpd
Gas,"Tomatoes - Plum, Canned"
Granon,Godiva White Chocolate
Carniceria,Pastry - Cheese Baked Scones
Pimienta,"Yogurt - Strawberry, 175 Gr"
Cebolla,Appetizer - Tarragon Chicken
House,"Water - Spring Water, 355 Ml"
Kitchen,Beans - French
Speed,Table Cloth 72x144 White
Superpower,Soup - Boston Clam Chowder
Galactic,Cocktail Napkin Blue
Phenomeno,Lychee
Totalitarian,"Chicken - Leg, Boneless"
Pizzapasta,Garam Masala Powder
Venezuela,Foam Espresso Cup Plain White
Cantonito,Bagel - Plain
Lol,Veal - Sweetbread
Pretrucious,Amarula Cream
Pulis,Mcguinness - Blue Curacao
Banned,"Lemonade - Island Tea, 591 Ml"
Not Banned,Quail - Jumbo Boneless
Gas,"Coconut - Shredded, Sweet"
Granon,Strongholder 4 - Cup Carrier
Carniceria,Coffee Guatemala Dark
Pimienta,Soup Campbells Beef With Veg
Cebolla,Cookie Dough - Chocolate Chip
House,Sugar - Monocystal / Rock
Kitchen,Bread - White Mini Epi
Speed,Shrimp - Black Tiger 13/15
Superpower,Mushroom - Portebello
Galactic,Cucumber - Pickling Ontario
Phenomeno,Jagermeister
Totalitarian,Sesame Seed Black
Pizzapasta,Beer - Moosehead
Venezuela,"Cookies - Oreo, 4 Pack"
Cantonito,"Liqueur Banana, Ramazzotti"
Lol,Vinegar - Sherry
Pretrucious,Compound - Pear
Pulis,Lettuce - Spring Mix
Banned,Garam Marsala
Not Banned,Juice - Orangina
Gas,Capers - Ox Eye Daisy
Granon,"Juice - V8, Tomato"
Carniceria,Pastry - Cherry Danish - Mini
Pimienta,Absolut Citron
Cebolla,"Wine - Mas Chicet Rose, Vintage"
House,"Wine - White, Mosel Gold"
Kitchen,"Wine - Red, Metus Rose"
Speed,Eel - Smoked
Superpower,Soup - French Can Pea
Galactic,Bread - Malt
Phenomeno,"Beans - Black Bean, Dry"
Totalitarian,Wine - Touraine Azay - Le - Rideau
Pizzapasta,Beef - Top Butt
Venezuela,Squid U5 - Thailand
Cantonito,Butcher Twine 4r
Lol,Goulash Seasoning
Pretrucious,Pork - Shoulder
Pulis,Carroway Seed
Banned,Tequila - Sauza Silver
Not Banned,"Beans - Black Bean, Canned"
Gas,Baby Corn
Granon,Cake - Cheese Cake 9 Inch
Carniceria,Pasta - Cheese / Spinach Bauletti
Pimienta,Cookie Dough - Oatmeal Rasin
Cebolla,Bread - Sour Sticks With Onion
House,"Juice - Pineapple, 341 Ml"
Kitchen,Puree - Guava
Speed,Wiberg Super Cure
Superpower,"Beer - Draft, Blue"
Galactic,Compound - Pear
Phenomeno,Beer - Paulaner Hefeweisse
Totalitarian,Ecolab - Medallion
Pizzapasta,Grenadine
Venezuela,Tomatoes Tear Drop
Cantonito,Pomello
Lol,Glass Clear 7 Oz Xl
Pretrucious,Sage - Fresh
Pulis,Sauce Bbq Smokey
Banned,Goat - Leg
Not Banned,Mushroom - Portebello
Gas,Wine - Zinfandel Rosenblum
Granon,Ice Cream Bar - Hagen Daz
Carniceria,Chinese Foods - Thick Noodles
Pimienta,Carroway Seed
Cebolla,"Arctic Char - Fresh, Whole"
House,Snapple Lemon Tea
Kitchen,Milk - Condensed
Speed,Oil - Pumpkinseed
Superpower,Sambuca - Opal Nera
Galactic,"Napkin - Cocktail,beige 2 - Ply"
Phenomeno,Versatainer Nc - 8288
Totalitarian,Water - Aquafina Vitamin
Pizzapasta,Garbage Bags - Clear
Venezuela,Foam Espresso Cup Plain White
Cantonito,Pastry - Baked Scones - Mini
Lol,Tahini Paste
Pretrucious,Macaroons - Two Bite Choc
Pulis,Extract - Almond
Banned,Beer - Paulaner Hefeweisse
Not Banned,Banana - Green
Gas,Pork - Caul Fat
Granon,Quiche Assorted
Carniceria,Chef Hat 20cm
Pimienta,"Soup - Beef Conomme, Dry"
Cebolla,Pork Loin Cutlets
House,Red Cod Fillets - 225g
Kitchen,Bread - Calabrese Baguette
Speed,Carbonated Water - Peach
Superpower,Wine - Rubyport
Galactic,Food Colouring - Red
Phenomeno,Table Cloth 81x81 White
Totalitarian,Soup - Campbells - Chicken Noodle
Pizzapasta,Appetizer - Lobster Phyllo Roll
Venezuela,Mix - Cappucino Cocktail
Cantonito,Tumeric
Lol,Pasta - Agnolotti - Butternut
Pretrucious,Mushrooms - Honey
Pulis,"Chicken - Leg, Boneless"
Banned,"Napkin - Beverge, White 2 - Ply"
Not Banned,Aromat Spice / Seasoning
Gas,Jam - Raspberry
Granon,Trueblue - Blueberry Cranberry
Carniceria,Taro Root
Pimienta,Bag - Clear 7 Lb
Cebolla,"Wine - Wolf Blass, Chardonnay"
House,Tuna - Yellowfin
Kitchen,"Beef - Tenderlion, Center Cut"
Speed,Bacardi Breezer - Tropical
Superpower,"Fish - Halibut, Cold Smoked"
Galactic,Dehydrated Kelp Kombo
Phenomeno,Cocoa Feuilletine
Totalitarian,Cheese - Valancey
Pizzapasta,Crawfish
Venezuela,Pate - Peppercorn
Cantonito,"Split Peas - Yellow, Dry"
Lol,"Nut - Walnut, Chopped"
Pretrucious,Dikon
Pulis,Wine - Sogrape Mateus Rose
Banned,Pastry - Carrot Muffin - Mini
Not Banned,"Pepper - Julienne, Frozen"
Gas,"Wine - White, Schroder And Schyl"
Granon,Cake - Sheet Strawberry
Carniceria,Chicken Giblets
Pimienta,Muffin Chocolate Individual Wrap
Cebolla,Icecream Bar - Del Monte
House,Raisin - Golden
Kitchen,Cup - 4oz Translucent
Speed,"Carrots - Purple, Organic"
Superpower,Crab Brie In Phyllo
Galactic,Bread - Kimel Stick Poly
Phenomeno,Mushroom - Porcini Frozen
Totalitarian,"Pasta - Penne, Rigate, Dry"
Pizzapasta,Chips - Assorted
Venezuela,Water - Spring Water 500ml
Cantonito,Sauce - Thousand Island
Lol,Wine - Sicilia Igt Nero Avola
Pretrucious,Pastry - Plain Baked Croissant
Pulis,Calypso - Pineapple Passion
Banned,"Bread - Multigrain, Loaf"
Not Banned,Sweet Pea Sprouts
Gas,Huck White Towels
Granon,Spice - Pepper Portions
Carniceria,Wine - Carmenere Casillero Del
Pimienta,"Peas - Pigeon, Dry"
Cebolla,"Pepper - Julienne, Frozen"
House,Sage - Rubbed
Kitchen,Ice Cream Bar - Oreo Cone
Speed,Pastry - Carrot Muffin - Mini
Superpower,Brandy Cherry - Mcguinness
Galactic,Cheese - Cheddar With Claret
Phenomeno,Cranberries - Fresh
Totalitarian,Mustard Prepared
Pizzapasta,Lettuce - Boston Bib
Venezuela,Couscous
Cantonito,Coffee Beans - Chocolate
Lol,Table Cloth 54x72 White
Pretrucious,Chips - Potato Jalapeno
Pulis,The Pop Shoppe - Grape
Banned,Higashimaru Usukuchi Soy
Not Banned,"Rum - Spiced, Captain Morgan"
Gas,"Rum - Dark, Bacardi, Black"
Granon,Ice Cream Bar - Hagen Daz
Carniceria,Milk - Buttermilk
Pimienta,Silicone Parch. 16.3x24.3
Cebolla,Fruit Mix - Light
House,"Syrup - Monin, Swiss Choclate"
Kitchen,Bread Base - Goodhearth
Speed,Squash - Pepper
Superpower,Wine - Magnotta - Bel Paese White
Galactic,"Sugar - Brown, Individual"
Phenomeno,Bread - 10 Grain
Totalitarian,"Quail - Whole, Bone - In"
Pizzapasta,Wine - Red Oakridge Merlot
Venezuela,Dip - Tapenade
Cantonito,Bread - Rye
Lol,"Beans - Black Bean, Canned"
Pretrucious,"Ranchero - Primerba, Paste"
Pulis,Sherbet - Raspberry
Banned,Pastry - Chocolate Chip Muffin
Not Banned,Sponge Cake Mix - Chocolate
Gas,Cheese - Goat
Granon,Beer - Sleemans Honey Brown
Carniceria,Vodka - Smirnoff
Pimienta,"Cheese - Boursin, Garlic / Herbs"
Cebolla,Cake - Mini Potato Pancake
House,"Nut - Walnut, Chopped"
Kitchen,Myers Planters Punch
Speed,Gatorade - Orange
Superpower,Versatainer Nc - 9388
Galactic,"Dill - Primerba, Paste"
Phenomeno,Lettuce - Frisee
Totalitarian,Halibut - Steaks
Pizzapasta,Crackers - Trio
Venezuela,Butter Sweet
Cantonito,Bread - Granary Small Pull
Lol,Guava
Pretrucious,Sugar - Fine
Pulis,Chinese Foods - Plain Fried Rice
Banned,Barramundi
Not Banned,Chicken - Whole
Gas,Dill Weed - Fresh
Granon,Muffin Mix - Morning Glory
Carniceria,Cheese Cheddar Processed
Pimienta,Garlic Powder
Cebolla,"Vodka - Currant, Absolute"
House,Appetizer - Mango Chevre
Kitchen,Bacardi Breezer - Tropical
Speed,Pastry - Carrot Muffin - Mini
Superpower,Mini - Vol Au Vents
Galactic,Scallops 60/80 Iqf
Phenomeno,Nut - Pumpkin Seeds
Totalitarian,Filling - Mince Meat
Pizzapasta,"Soup - Campbells, Creamy"
Venezuela,"Mushroom - Trumpet, Dry"
Cantonito,Bacon Strip Precooked
Lol,"Tart Shells - Barquettes, Savory"
Pretrucious,Coffee - Egg Nog Capuccino
Pulis,Turkey - Ground. Lean
Banned,Oil - Cooking Spray
Not Banned,V8 - Vegetable Cocktail
Gas,Fork - Plastic
Granon,Sterno - Chafing Dish Fuel
Carniceria,Soup - Campbells Mushroom
Pimienta,Worcestershire Sauce
Cebolla,Soup - Campbells
House,Vector Energy Bar
Kitchen,Containter - 3oz Microwave Rect.
Speed,"Mop Head - Cotton, 24 Oz"
Superpower,"Pasta - Lasagne, Fresh"
Galactic,"Pasta - Shells, Medium, Dry"
Phenomeno,Oats Large Flake
Totalitarian,"Chicken - Leg, Boneless"
Pizzapasta,Chinese Foods - Chicken Wing
Venezuela,Sterno - Chafing Dish Fuel
Cantonito,Gelatine Powder
Lol,Cheese - Bakers Cream Cheese
Pretrucious,Yukon Jack
Pulis,The Pop Shoppe - Root Beer
Banned,Wine - Delicato Merlot
Not Banned,Beef - Shank
Gas,Ham - Cooked
Granon,"Iced Tea - Lemon, 460 Ml"
Carniceria,Lamb Shoulder Boneless Nz
Pimienta,Lettuce - Green Leaf
Cebolla,Wine - Tio Pepe Sherry Fino
House,"Stock - Beef, Brown"
Kitchen,Compound - Raspberry
Speed,"Glass - Wine, Plastic, Clear 5 Oz"
Superpower,Pheasants - Whole
Galactic,Lemon Pepper
Phenomeno,Cod - Fillets
Totalitarian,The Pop Shoppe - Root Beer
Pizzapasta,Fudge - Cream Fudge
Venezuela,Foil Wrap
Cantonito,Poppy Seed
Lol,"Kohlrabi - Giant, Organic"
Pretrucious,Veal - Bones
Pulis,Bread - 10 Grain Parisian
Banned,Food Colouring - Pink
Not Banned,"Fish - Halibut, Cold Smoked"
Gas,Berry Brulee
Granon,Mcguinness - Blue Curacao
Carniceria,"Sauce - Black Current, Dry Mix"
Pimienta,Wine - Jackson Triggs Okonagan
Cebolla,Wine - Guy Sage Touraine
House,Cheese - Marble
Kitchen,Coffee - Dark Roast
Speed,"Wine - Red, Marechal Foch"
Superpower,Oregano - Fresh
Galactic,Nut - Pumpkin Seeds
Phenomeno,White Baguette
Totalitarian,Truffle Paste
Pizzapasta,V8 - Tropical Blend
Venezuela,Beef - Striploin Aa
Cantonito,Puree - Passion Fruit
Lol,Juice - Lime
Pretrucious,Mushroom - Morel Frozen
Pulis,Fennel
Banned,Cheese - Ricotta
Not Banned,Contreau
Gas,Food Colouring - Pink
Granon,Bread - Ciabatta Buns
Carniceria,Beef - Diced
Pimienta,"Yogurt - Blueberry, 175 Gr"
Cebolla,"Cookies - Oreo, 4 Pack"
House,Anisette - Mcguiness
Kitchen,Nescafe - Frothy French Vanilla
Speed,Pea - Snow
Superpower,Waffle Stix
Galactic,"Crab - Claws, Snow 16 - 24"
Phenomeno,Plastic Wrap
Totalitarian,Quail - Jumbo
Pizzapasta,Nut - Pumpkin Seeds
Venezuela,Mix - Cocktail Ice Cream
Cantonito,Veal - Kidney
Lol,Sambuca - Ramazzotti
Pretrucious,Foam Tray S2
Pulis,Ostrich - Fan Fillet
Banned,Soup - Base Broth Chix
Not Banned,Fondant - Icing
Gas,Ham - Procutinni
Granon,"Cake Circle, Paprus"
Carniceria,Kumquat
Pimienta,Pork - Caul Fat
Cebolla,Beans - Fine
House,Miso - Soy Bean Paste
Kitchen,Bagel - Plain
Speed,"Pork - Tenderloin, Fresh"
Superpower,Tea - Herbal I Love Lemon
Galactic,Wine - Riesling Alsace Ac 2001
Phenomeno,Bread Crumbs - Japanese Style
Totalitarian,Sage Ground Wiberg
Pizzapasta,"Pepper - White, Ground"
Venezuela,Salmon - Fillets
Cantonito,Food Colouring - Blue
Lol,The Pop Shoppe - Root Beer
Pretrucious,Soup - Campbellschix Stew
Pulis,Beer - Camerons Auburn
Banned,Ezy Change Mophandle
Not Banned,Container - Hngd Cll Blk 7x7x3
Gas,Rappini - Andy Boy
Granon,Crush - Cream Soda
Carniceria,"Beef - Tenderlion, Center Cut"
Pimienta,Chutney Sauce
Cebolla,"Water - Spring Water, 355 Ml"
House,Vinegar - Raspberry
Kitchen,Puree - Blackcurrant
Speed,Laundry - Bag Cloth
Superpower,"Beef - Baby, Liver"
Galactic,Salt - Celery
Phenomeno,Longos - Grilled Chicken With
Totalitarian,Sugar - Fine
Pizzapasta,Tea - Mint
Venezuela,Tobasco Sauce
Cantonito,Pastry - Chocolate Chip Muffin
Lol,Eggplant - Baby
Pretrucious,Table Cloth 54x54 Colour
Pulis,Cake Slab
Banned,Food Colouring - Blue
Not Banned,"Beef - Bones, Marrow"
Gas,Creme De Menthe Green
Granon,Flax Seed
Carniceria,Devonshire Cream
